STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
34,NJ,7002,35.31,24.7,15.95,9.41,12.15,2.49,31780
34,NJ,7029,38.4,25.93,14.88,8.53,10.5,1.75,9140
34,NJ,7030,12.6,13.53,18.14,13.49,21.86,20.38,29050
34,NJ,7032,38.4,25.74,14.94,9,10.12,1.8,18880
34,NJ,7047,42.16,25.92,14.49,7.4,8.15,1.88,29200
34,NJ,7086,25.1,19.51,15.47,10.66,17.56,11.7,7690
34,NJ,7087,50.69,27.29,11.43,4.9,4.68,1.01,31840
34,NJ,7093,45.09,24.44,12.07,6.22,8.55,3.62,29250
34,NJ,7094,23.47,17.13,14.75,11.42,23.16,10.07,9630
34,NJ,7302,13.86,12.98,14.7,13.02,26.21,19.22,25030
34,NJ,7304,43.81,28.23,12.79,6.98,6.98,1.22,22210
34,NJ,7305,43.05,26.7,13.23,6.68,8.18,2.16,30080
34,NJ,7306,38.32,23.82,15,10.34,10.57,1.95,26200
34,NJ,7307,37.06,26.01,15.9,9.13,9.83,2.07,21260
34,NJ,7310,14.45,11.05,14.73,15.16,26.91,17.71,7060
34,NJ,7311,7.14,8.93,12.5,16.07,33.93,21.43,560
36,NY,6390,26.67,13.33,33.33,0,26.67,0,150
36,NY,10001,25.76,17.22,13.43,9.71,17.77,16.12,14520
36,NY,10002,50.21,19.46,11.4,6.42,8.58,3.91,42180
36,NY,10003,17.55,13.5,13.82,11.24,21.98,21.91,28660
36,NY,10004,14.52,10.08,11.69,8.47,20.97,34.27,2480
36,NY,10005,11.62,12.63,14.48,11.11,22.9,27.27,5940
36,NY,10006,13.08,12.24,13.92,10.55,26.16,24.05,2370
36,NY,10007,13.66,9.3,8.14,6.1,17.15,45.64,3440
36,NY,10009,29.5,20.55,16.91,11.05,15.52,6.48,32410
36,NY,10010,14.75,13.13,14.69,11.41,23.1,22.93,17360
36,NY,10011,17.11,12.3,12.2,10.46,22.96,24.97,29920
36,NY,10012,19.17,13.95,13.87,10.75,21.89,20.37,12470
36,NY,10013,28.51,13.79,10.91,7.76,13.59,25.44,14940
36,NY,10014,14.84,11.58,12.49,10.93,24.87,25.29,18660
36,NY,10016,16.19,14.56,16.19,11.96,21.7,19.41,31940
36,NY,10017,15.36,11.65,12.57,10.55,22.36,27.51,11850
36,NY,10018,22.38,15.96,12.83,9.08,18.78,20.97,6390
36,NY,10019,19.59,14.54,14.18,10.12,21.51,20.07,25110
36,NY,10021,14.7,11.05,13.39,10.71,20.78,29.37,23530
36,NY,10022,13.96,10.74,11.69,10.13,22.58,30.9,19840
36,NY,10023,17.35,11.51,10.92,9.66,22.34,28.24,34070
36,NY,10024,18.78,11.81,11.74,9.4,20.09,28.18,30410
36,NY,10025,27.38,17.12,13.57,9.19,16.36,16.38,45610
36,NY,10026,38.25,23.67,14.14,7.82,10.42,5.71,18040
36,NY,10027,42.27,24.25,12.62,6.73,8.94,5.19,27180
36,NY,10028,15.62,11.39,14.86,11.75,21.12,25.26,25100
36,NY,10029,47.32,26.7,13.18,5.36,5.08,2.37,35060
36,NY,10030,47.62,26.56,13.28,5.94,5.14,1.47,13630
36,NY,10031,47.17,27.06,13.67,5.66,5.15,1.3,29340
36,NY,10032,49.11,26.66,13.04,5.19,4.85,1.16,29300
36,NY,10033,47.53,24.43,12.63,5.87,7.2,2.34,26930
36,NY,10034,46.18,24.23,14.05,6.9,7.1,1.54,20140
36,NY,10035,46.53,25.71,12.89,6.01,6.74,2.12,15130
36,NY,10036,23.93,16.88,13.78,10.26,20.3,14.85,18720
36,NY,10037,36.75,26.12,17.57,9.5,8.74,1.33,10530
36,NY,10038,28.45,15.96,13.15,9.26,18.11,15.05,12090
36,NY,10039,47.03,27.09,13.62,5.79,5.19,1.28,13290
36,NY,10040,45.96,25.16,13.94,6.53,6.62,1.78,21300
